overflow 1ms,,,
,over 200us,over 500us,over 1ms
666,0.075462,0.002816,0.002275
667,0.076516,0.000818,0.00068
668,0.076252,0.003052,0.002469
669,0.078333,0.00301,0.002511
670,0.076571,0.002969,0.002289
671,0.077695,0.001165,0.000791
672,0.078888,0.002747,0.002206
673,0.077182,0.002913,0.002344
674,0.099487,0.007713,0.003829
675,0.075254,0.001013,0.000791
676,0.075684,0.001262,0.001027
677,0.078735,0.001734,0.001318
678,0.090485,0.004286,0.002788
679,0.08814,0.005895,0.004342
680,0.098114,0.003288,0.001151
681,0.082092,0.003718,0.002622
682,0.080927,0.00394,0.002649
683,0.100139,0.011513,0.007269
684,0.082411,0.003745,0.002539
685,0.080747,0.003898,0.002539
686,0.077612,0.002053,0.00111
687,0.0828,0.003995,0.00258
688,0.077667,0.00172,0.000902
689,0.084561,0.004938,0.003246
690,0.079776,0.001984,0.001193
691,0.078416,0.001387,0.000805
692,0.082717,0.002844,0.001595
693,0.078805,0.001415,0.000791
694,0.080372,0.003953,0.002719
695,0.081177,0.003745,0.002636
696,0.08022,0.001789,0.000818
697,0.098045,0.008781,0.0043
698,0.080636,0.003842,0.002497
699,0.080012,0.002011,0.000971
700,0.079179,0.001928,0.001068
701,0.078888,0.002011,0.000971
702,0.080899,0.002067,0.000957
703,0.085061,0.006534,0.004786
704,0.08237,0.004272,0.003052
705,0.081718,0.004231,0.00283
706,0.079332,0.001609,0.000943
707,0.078832,0.004134,0.002802
708,0.082772,0.006062,0.004578
709,0.079859,0.001665,0.000902
710,0.078791,0.001637,0.000818
711,0.079027,0.001637,0.000818
712,0.081884,0.005646,0.004272
713,0.083577,0.008101,0.006214
714,0.088154,0.006755,0.003745
715,0.078735,0.00394,0.002705
716,0.085657,0.006367,0.00387
717,0.100597,0.02035,0.016715
718,0.087669,0.006922,0.004051
719,0.077598,0.001748,0.00086
720,0.082203,0.003981,0.002483
721,0.081926,0.003801,0.002594
722,0.093301,0.018838,0.016785
723,0.079096,0.003745,0.002483
724,0.083258,0.006104,0.0043
725,0.080941,0.004051,0.00283
726,0.079762,0.003551,0.002663
727,0.082189,0.004217,0.002719
728,0.077792,0.001817,0.000832
