,0,400,800,1200,1600,2000,
514,0.001193,0.000444,0.000361,0.00043,0.000666,0.000486,0.000444
516,0.001124,0.000527,0.000375,0.000458,0.000402,0.000291,0.000472
518,0.001221,0.000402,0.000513,0.000444,0.00043,0.00043,0.000444
520,0.001054,0.000541,0.000694,0.000402,0.000527,0.00043,0.000472
522,0.000957,0.000499,0.000527,0.000555,0.000499,0.000666,0.000694
524,0.00111,0.000472,0.000638,0.000707,0.000749,0.00043,0.000652
526,0.001332,0.000666,0.000583,0.00043,0.000569,0.000749,0.000541
528,0.001595,0.000555,0.000499,0.000347,0.000499,0.000472,0.000583
530,0.002011,0.000402,0.000499,0.00043,0.000361,0.000222,0.000277
532,0.002108,0.000319,0.000444,0.000388,0.000416,0.000333,0.000277
534,0.00215,0.000305,0.000277,0.000291,0.000236,0.000277,0.000361
536,0.002552,0.000319,0.000236,0.000236,0.00025,0.000208,0.000277
538,0.002844,0.000416,0.000375,0.000319,0.00025,0.000305,0.000264
540,0.00344,0.000305,0.000319,0.000222,0.000388,0.000277,0.000416
542,0.003274,0.000458,0.000236,0.000388,0.000264,0.00025,0.000388
544,0.003607,0.00025,0.000291,0.000277,0.000166,0.000236,0.000222
546,0.003787,0.000361,0.000347,0.00018,0.000319,0.000153,0.000291
548,0.004578,0.000264,0.000277,0.000194,0.000236,0.000208,0.000139
550,0.003953,0.000222,0.000236,0.000139,0.000097,0.000194,0.000069
552,0.004092,0.000222,0.000194,0.00025,0.000097,0.000097,0.000153
554,0.004272,0.000222,0.000236,0.000139,0.000111,0.00018,0.000166
556,0.004911,0.000139,0.000208,0.000153,0.000083,0.000139,0.000125
558,0.005299,0.000097,0.000111,0.000125,0.000097,0.000083,0.000111
560,0.006187,0.000139,0.000208,0.000125,0.000125,0.000125,0.000069
562,0.006547,0.000153,0.000125,0.000097,0.000166,0.000083,0.000125
564,0.008503,0.000236,0.000166,0.000083,0.000083,0.000028,0.000055
566,0.008614,0.000111,0.000083,0.000083,0.000055,0.000097,0.000111
568,0.008406,0.000194,0.000055,0.000069,0.000083,0.000042,0.000042
570,0.008531,0.000153,0.000125,0.000042,0.000014,0.000042,0.000083
572,0.008018,0.000069,0.000125,0.000083,0.000055,0.000069,0.000055
574,0.008933,0.000097,0.000194,0.000014,0.000097,0.000083,0.000083
576,0.008836,0.000153,0.000139,0.000111,0.000014,0.000069,0.000083
578,0.010418,0.000208,0.000125,0.000125,0.000069,0.000042,0.000111
580,0.011375,0.000153,0.000069,0.000014,0.000111,0.000083,0.000042
582,0.011527,0.000083,0.000139,0.000069,0.000083,0.000042,0.000055
584,0.011985,0.000069,0.000083,0.000055,0.000055,0.000069,0.000042
586,0.012873,0.000111,0.000097,0.000014,0.000055,0.000028,0.000055
588,0.012373,0.000111,0.000097,0.000042,0.000028,0.000028,0.000055
590,0.012568,0.000042,0.000069,0.000069,0.000042,0.000042,0.000083
