overflow 1ms,,,,
,over 400us,over 500us,over 1ms,over 2.5ms
580,0.881209,0.002122,0.000486,0.000319
581,0.877741,0.00319,0.000388,0.000291
582,0.897356,0.005327,0.000375,0.00025
583,0.877242,0.001956,0.000486,0.000333
584,0.891946,0.002247,0.000375,0.000264
585,0.877644,0.001748,0.000569,0.000305
586,0.87032,0.001762,0.000444,0.000291
587,0.894193,0.003135,0.00043,0.000333
588,0.872664,0.002261,0.00043,0.000305
589,0.878046,0.001637,0.000499,0.000236
590,0.878615,0.002622,0.000527,0.000305
591,0.894151,0.003399,0.000388,0.000264
592,0.880779,0.002996,0.000513,0.000222
593,0.903847,0.00362,0.000361,0.000264
594,0.89361,0.003163,0.00043,0.000277
595,0.928858,0.00781,0.000291,0.00018
596,0.904402,0.004106,0.000472,0.000305
597,0.895691,0.004481,0.000402,0.000236
598,0.875952,0.002233,0.000291,0.000139
599,0.884857,0.0024,0.000486,0.000347
600,0.93055,0.00903,0.00043,0.000291
601,0.932257,0.008989,0.000458,0.000347
602,0.940843,0.010598,0.000513,0.000305
603,0.866339,0.001873,0.000638,0.000402
604,0.878906,0.001845,0.000472,0.000277
605,0.892376,0.002871,0.000305,0.000194
606,0.939428,0.00928,0.000402,0.000291
607,0.902807,0.005604,0.000749,0.000361
608,0.909909,0.004869,0.000513,0.000375
609,0.896038,0.005909,0.000444,0.000277
610,0.886189,0.002525,0.000333,0.000153
611,0.879364,0.002053,0.000527,0.000236
612,0.88243,0.001678,0.000319,0.000166
613,0.921672,0.006006,0.000236,0.000125
614,0.917733,0.006922,0.000444,0.000319
615,0.925973,0.009225,0.000486,0.00025
616,0.879697,0.00301,0.000583,0.000333
617,0.882055,0.001678,0.000763,0.00043
618,0.880612,0.002053,0.000458,0.000277
619,0.883609,0.001887,0.000402,0.000277
620,0.877172,0.001914,0.000402,0.000264
621,0.875799,0.001651,0.000499,0.000333
622,0.891141,0.002469,0.000499,0.000347
623,0.883179,0.002303,0.000388,0.000277
624,0.886064,0.002386,0.000472,0.000277
625,0.89171,0.004439,0.000596,0.000305
626,0.882499,0.020405,0.008753,0.004286
