,0,400,800,1200,1600,2000
734,0,0,0,0.000021,0.000104,0.000229
736,0.000007,0,0,0.000055,0.000097,0.00025
738,0.000014,0,0.000007,0.000076,0.000118,0.000229
740,0,0,0,0.000055,0.000076,0.000222
742,0,0,0,0.000055,0.000111,0.000187
744,0.000007,0,0.000014,0.000049,0.000069,0.00025
746,0,0,0,0.000042,0.000097,0.000222
748,0,0,0,0.000042,0.000132,0.000173
750,0,0,0.000007,0.000049,0.000042,0.000215
752,0.000007,0,0.000007,0.00009,0.000062,0.000201
754,0,0,0,0.000076,0.00009,0.000139
756,0.000007,0,0,0.000042,0.000083,0.000229
758,0,0,0.000007,0.000042,0.000083,0.000173
760,0,0,0,0.000042,0.000062,0.00016
762,0.000007,0,0.000007,0.000076,0.000076,0.000173
764,0,0,0,0.00009,0.000111,0.000215
766,0,0,0,0.000042,0.000097,0.000201
768,0,0,0,0.000055,0.00009,0.000215
770,0.000007,0,0.000007,0.000049,0.000062,0.000132
772,0,0,0,0.000049,0.000097,0.000166
774,0,0,0,0.000035,0.000125,0.00016
776,0.000007,0,0,0.000049,0.00009,0.000118
778,0.000014,0,0,0.000055,0.000049,0.000187
780,0,0,0.000007,0.000042,0.000062,0.000146
782,0,0,0.000007,0.000049,0.000062,0.000139
784,0.000007,0,0,0.000007,0.000076,0.000049
786,0,0,0.000007,0.000035,0.000055,0.000139
788,0,0,0,0.000035,0.000104,0.00018
790,0,0,0,0.000021,0.000069,0.00018
792,0.000007,0,0.000028,0.000049,0.000083,0.000125
794,0.000007,0,0.000007,0.000021,0.000069,0.000153
796,0,0,0,0.000035,0.000035,0.000153
798,0,0,0,0.000035,0.00009,0.000153
