,over 400us,over 1ms,over 1.5ms,over 2ms
1895,2.38327,1.280004,0.994845,0.798076
1900,2.485157,1.370947,1.066784,0.824564
1905,2.443425,1.330025,1.038097,0.825965
1910,2.423907,1.31433,1.023948,0.818509
1915,2.398598,1.29303,1.007538,0.812003
1920,2.391246,1.291823,1.021659,0.831826
1925,2.413386,1.310029,1.020959,0.822747
1930,2.417048,1.313608,1.035732,0.841175
1935,2.412193,1.313282,1.051747,0.871457
1940,2.412664,1.315661,1.061082,0.890461
1945,2.439776,1.33941,1.069724,0.884448
1950,2.457199,1.35369,1.072471,0.875251
1955,2.470641,1.364531,1.088167,0.900026
1960,2.491247,1.378576,1.077173,0.870195
1965,2.50695,1.392025,1.089027,0.882971
1970,2.505195,1.395493,1.091149,0.885738
1975,2.555979,1.434271,1.123408,0.909889
1980,2.573561,1.453788,1.139131,0.924606
1985,2.586954,1.464802,1.149181,0.929052
1990,2.588709,1.46768,1.150638,0.934088
1995,2.585935,1.463907,1.150388,0.938762
2000,2.804968,1.668694,1.316466,0.975973
2005,3.012418,1.886292,1.524235,1.207643
2010,3.01377,1.889905,1.523417,1.180434
2015,3.0264,1.89845,1.529978,1.178069
2020,3.026158,1.895884,1.522737,1.150429
2025,3.05035,1.920721,1.552395,1.229186
2030,3.037928,1.909395,1.548441,1.269594
2035,3.06864,1.935175,1.567938,1.269108
2040,2.90021,1.764547,1.394633,1.028026
2045,2.977663,1.851196,1.501208,1.245603
2050,2.99949,1.8719,1.515746,1.254737
2055,3.087325,1.952771,1.572966,1.213608
2060,3.11977,1.982006,1.604101,1.251054
2065,3.140016,2.007509,1.628432,1.30009
2070,3.112786,1.974002,1.585187,1.175274
2075,2.967245,1.82183,1.446658,1.080218
2080,2.917772,1.777399,1.410238,1.071257
2085,3.150219,1.856412,1.479007,1.105992
2090,3.116004,1.896612,1.517819,1.150263
2095,3.34533,2.053791,1.682046,1.379422
2100,3.170416,1.864874,1.491339,1.141309
2105,2.993504,1.733308,1.38588,1.127437
2110,2.98566,1.695924,1.35514,1.116756
2115,2.905398,1.653019,1.312866,1.086051
2120,3.045127,1.830548,1.461632,1.157733
2125,3.204262,1.914083,1.529319,1.156776
2130,3.324939,2.097314,1.696375,1.295097
2135,3.194573,1.977296,1.58552,1.214842
2140,3.167371,1.950462,1.557035,1.180704
2145,3.334032,2.048596,1.642685,1.21374
2150,3.426417,2.154617,1.747464,1.333063
2155,3.430987,2.178546,1.779279,1.399481
2160,3.453862,2.164078,1.754171,1.322188
2165,3.371561,2.227998,1.822329,1.463269
2170,3.37532,2.230155,1.817828,1.427904
2175,3.313252,2.01595,1.619006,1.24785
2180,3.266456,2.00703,1.614609,1.261076
2185,3.127351,1.841528,1.479173,1.233305
2190,3.179883,1.903811,1.537524,1.267249
2195,3.080153,1.88659,1.517556,1.258247
2200,3.302266,2.144026,1.724645,1.306388
2205,3.237471,2.075792,1.670088,1.299979
2210,3.384989,2.155998,1.738621,1.308032
2215,3.245246,2.089379,1.685132,1.324914
2220,3.280071,2.119848,1.704705,1.322313
2225,3.169389,1.898783,1.526559,1.274504
2230,3.132352,1.905594,1.555751,1.303475
2235,3.20875,1.93625,1.565302,1.30206
2240,3.162544,1.939524,1.564678,1.306305
2245,3.236285,1.94234,1.566592,1.311965
2250,3.430987,2.099443,1.699052,1.390464
2255,3.466637,2.16842,1.755725,1.405182
2260,3.53621,2.231383,1.805468,1.404891
2265,3.692488,2.353141,1.913965,1.445458
2270,3.748391,2.472236,2.032693,1.601736
2275,3.479649,2.202703,1.791888,1.454919
2280,3.67449,2.413351,1.968363,1.513152
2285,3.448674,2.125244,1.727052,1.4383
2290,3.443957,2.188305,1.775103,1.458393
2295,3.499111,2.218663,1.802285,1.464663
2300,3.489109,2.146364,1.747721,1.461209
2305,3.644444,2.381994,1.938664,1.506972
2310,3.58567,2.313988,1.88643,1.519387
2315,3.608052,2.272575,1.853554,1.518492
2320,3.512185,2.236529,1.824195,1.51834
2325,3.628547,2.343597,1.910595,1.53656
2330,3.596767,2.239539,1.831249,1.534424
2335,3.571909,2.260867,1.848464,1.54883
2340,3.692849,2.409432,1.968779,1.570025
2345,3.604931,2.292224,1.876359,1.569339
2350,3.740449,2.476987,2.020784,1.586893
2355,3.674823,2.40328,1.964118,1.599073
2360,3.490413,2.237202,1.829029,1.536102
2365,3.534588,2.249409,1.838559,1.551645
2370,4.039438,2.851854,2.395838,2.044241
2375,3.835921,2.659586,2.216637,1.897014
2380,3.868353,2.694244,2.243146,1.920658
2385,4.052138,2.871024,2.410445,2.064056
2390,4.316379,3.130764,2.665898,2.325384
2395,4.322288,3.13942,2.671654,2.32804
2400,4.441008,3.24139,2.772328,2.443432
2405,4.612933,3.14218,2.676697,2.305069
2410,4.275375,2.855031,2.39844,2.058266
2415,4.387603,3.070645,2.603247,2.235857
2420,4.620154,3.223517,2.752977,2.379463
2425,4.564308,3.228137,2.756494,2.381211
2430,4.27764,2.899936,2.43749,2.09056
2435,4.194063,2.815409,2.359004,2.029407
2440,4.119483,2.824309,2.361627,2.031204
2445,4.213312,2.789588,2.340001,1.999619
